turn=0generation=30, rounds=50
generation=2	strategy0=0.0009	strategy1=0.1146	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0533	strategy6=0.0534	strategy7=0.0536	strategy8=0.0564	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=3	strategy0=0.0007	strategy1=0.1149	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0532	strategy6=0.0534	strategy7=0.0536	strategy8=0.0564	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=4	strategy0=0.0006	strategy1=0.1150	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0532	strategy6=0.0534	strategy7=0.0536	strategy8=0.0564	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=5	strategy0=0.0006	strategy1=0.1151	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0531	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=6	strategy0=0.0005	strategy1=0.1152	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0531	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=7	strategy0=0.0005	strategy1=0.1153	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0531	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=8	strategy0=0.0004	strategy1=0.1153	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0531	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=9	strategy0=0.0005	strategy1=0.1154	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0531	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=10	strategy0=0.0004	strategy1=0.1155	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0531	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=11	strategy0=0.0004	strategy1=0.1155	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=12	strategy0=0.0004	strategy1=0.1155	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=13	strategy0=0.0004	strategy1=0.1155	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0563	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=14	strategy0=0.0004	strategy1=0.1155	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=15	strategy0=0.0004	strategy1=0.1155	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=16	strategy0=0.0004	strategy1=0.1156	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=17	strategy0=0.0005	strategy1=0.1156	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=18	strategy0=0.0004	strategy1=0.1156	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0562	strategy17=0.0540	
generation=19	strategy0=0.0004	strategy1=0.1156	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=20	strategy0=0.0004	strategy1=0.1157	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=21	strategy0=0.0004	strategy1=0.1157	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0536	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=22	strategy0=0.0004	strategy1=0.1157	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=23	strategy0=0.0004	strategy1=0.1157	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=24	strategy0=0.0004	strategy1=0.1157	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
generation=25	strategy0=0.0004	strategy1=0.1157	strategy2=0.0570	strategy3=0.0549	strategy4=0.0554	strategy5=0.0530	strategy6=0.0534	strategy7=0.0535	strategy8=0.0562	strategy9=0.0541	strategy10=0.0570	strategy11=0.0553	strategy12=0.0574	strategy13=0.0553	strategy14=0.0526	strategy15=0.0587	strategy16=0.0561	strategy17=0.0540	
