generation=30, rounds=50	ratio=50;50
strategy1=3 strategy2=12, 30	0.50	0.50, smallcompany1=0.5008,smallcompany2=0.4992, bigcompany1=0.5018,bigcompany2=0.4982
strategy1=3 strategy2=13, 30	0.49	0.51, smallcompany1=0.4901,smallcompany2=0.5099, bigcompany1=0.4954,bigcompany2=0.5046
strategy1=3 strategy2=14, 30	0.51	0.49, smallcompany1=0.5061,smallcompany2=0.4939, bigcompany1=0.5121,bigcompany2=0.4879
strategy1=3 strategy2=15, 30	0.58	0.42, smallcompany1=0.5772,smallcompany2=0.4228, bigcompany1=0.5805,bigcompany2=0.4195
strategy1=3 strategy2=16, 30	0.61	0.39, smallcompany1=0.6077,smallcompany2=0.3923, bigcompany1=0.6065,bigcompany2=0.3935
strategy1=3 strategy2=17, 30	0.58	0.42, smallcompany1=0.5764,smallcompany2=0.4236, bigcompany1=0.5817,bigcompany2=0.4183
strategy1=4 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=4 strategy2=1, 30	0.50	0.50, smallcompany1=0.4957,smallcompany2=0.5043, bigcompany1=0.4953,bigcompany2=0.5047
strategy1=4 strategy2=2, 30	0.50	0.50, smallcompany1=0.4955,smallcompany2=0.5045, bigcompany1=0.4979,bigcompany2=0.5021
strategy1=4 strategy2=3, 30	0.49	0.51, smallcompany1=0.4903,smallcompany2=0.5097, bigcompany1=0.4990,bigcompany2=0.5010
strategy1=4 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=0.9999,bigcompany2=0.0001
strategy1=4 strategy2=6, 30	0.50	0.50, smallcompany1=0.4996,smallcompany2=0.5004, bigcompany1=0.5038,bigcompany2=0.4962
strategy1=4 strategy2=7, 30	0.98	0.02, smallcompany1=0.9864,smallcompany2=0.0136, bigcompany1=0.9707,bigcompany2=0.0293
strategy1=4 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=4 strategy2=9, 30	0.50	0.50, smallcompany1=0.5003,smallcompany2=0.4997, bigcompany1=0.5036,bigcompany2=0.4964
strategy1=4 strategy2=10, 30	0.49	0.51, smallcompany1=0.4926,smallcompany2=0.5074, bigcompany1=0.4984,bigcompany2=0.5016
strategy1=4 strategy2=11, 30	0.51	0.49, smallcompany1=0.5149,smallcompany2=0.4851, bigcompany1=0.5064,bigcompany2=0.4936
strategy1=4 strategy2=12, 30	0.49	0.51, smallcompany1=0.4911,smallcompany2=0.5089, bigcompany1=0.4939,bigcompany2=0.5061
strategy1=4 strategy2=13, 30	0.50	0.50, smallcompany1=0.5015,smallcompany2=0.4985, bigcompany1=0.5007,bigcompany2=0.4993
strategy1=4 strategy2=14, 30	0.50	0.50, smallcompany1=0.5035,smallcompany2=0.4965, bigcompany1=0.4985,bigcompany2=0.5015
strategy1=4 strategy2=15, 30	0.53	0.47, smallcompany1=0.5283,smallcompany2=0.4717, bigcompany1=0.5331,bigcompany2=0.4669
strategy1=4 strategy2=16, 30	0.56	0.44, smallcompany1=0.5635,smallcompany2=0.4365, bigcompany1=0.5527,bigcompany2=0.4473
strategy1=4 strategy2=17, 30	0.55	0.45, smallcompany1=0.5530,smallcompany2=0.4470, bigcompany1=0.5524,bigcompany2=0.4476
strategy1=5 strategy2=0, 30	0.49	0.51, smallcompany1=0.4938,smallcompany2=0.5062, bigcompany1=0.4917,bigcompany2=0.5083
strategy1=5 strategy2=1, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=2, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0001,bigcompany2=0.9999
strategy1=5 strategy2=3, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=4, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0002,bigcompany2=0.9998
strategy1=5 strategy2=6, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=7, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=8, 30	0.02	0.98, smallcompany1=0.0185,smallcompany2=0.9815, bigcompany1=0.0112,bigcompany2=0.9888
strategy1=5 strategy2=9, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=10, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=11, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=12, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=13, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=14, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0001,bigcompany2=0.9999
strategy1=5 strategy2=15, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=16, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=5 strategy2=17, 30	0.00	1.00, smallcompany1=0.0000,smallcompany2=1.0000, bigcompany1=0.0000,bigcompany2=1.0000
strategy1=6 strategy2=0, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=6 strategy2=1, 30	0.51	0.49, smallcompany1=0.5111,smallcompany2=0.4889, bigcompany1=0.5139,bigcompany2=0.4861
strategy1=6 strategy2=2, 30	0.49	0.51, smallcompany1=0.4850,smallcompany2=0.5150, bigcompany1=0.4965,bigcompany2=0.5035
strategy1=6 strategy2=3, 30	0.49	0.51, smallcompany1=0.4900,smallcompany2=0.5100, bigcompany1=0.4926,bigcompany2=0.5074
strategy1=6 strategy2=4, 30	0.49	0.51, smallcompany1=0.4956,smallcompany2=0.5044, bigcompany1=0.4930,bigcompany2=0.5070
strategy1=6 strategy2=5, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=6 strategy2=7, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=6 strategy2=8, 30	1.00	0.00, smallcompany1=1.0000,smallcompany2=0.0000, bigcompany1=1.0000,bigcompany2=0.0000
strategy1=6 strategy2=9, 30	0.50	0.50, smallcompany1=0.4973,smallcompany2=0.5027, bigcompany1=0.5016,bigcompany2=0.4984
strategy1=6 strategy2=10, 30	0.50	0.50, smallcompany1=0.5062,smallcompany2=0.4938, bigcompany1=0.5001,bigcompany2=0.4999
strategy1=6 strategy2=11, 30	0.50	0.50, smallcompany1=0.5025,smallcompany2=0.4975, bigcompany1=0.4960,bigcompany2=0.5040
strategy1=6 strategy2=12, 30	0.50	0.50, smallcompany1=0.5037,smallcompany2=0.4963, bigcompany1=0.4967,bigcompany2=0.5033
strategy1=6 strategy2=13, 30	0.51	0.49, smallcompany1=0.5050,smallcompany2=0.4950, bigcompany1=0.5066,bigcompany2=0.4934
strategy1=6 strategy2=14, 30	0.50	0.50, smallcompany1=0.5011,smallcompany2=0.4989, bigcompany1=0.5054,bigcompany2=0.4946
